Function,Parameters,Type,Definition,Folder
binary_complex_equivalency,df,dataframe,DataFrame,feature_engineering.py
binary_complex_equivalency,column_name,str,Name of Column to be tested against column_name1.,feature_engineering.py
binary_complex_equivalency,column_name1,str,Name of Column to be tested against column_name.,feature_engineering.py
binary_complex_equivalency,new_column_name,str,"Name of Created Column, representing where values are either Equal, or Not Equal. Default Name is EQ_FLAG",feature_engineering.py
binary_complex_equivalency,eq,str,Any Value which will represent condition Matching.,feature_engineering.py
binary_complex_equivalency,ne,str,"Any value, representing Not Equal Condition",feature_engineering.py
binary_complex_equivalency,tolerance,float,Degree of grace to be applied by np.is_close() to minimize python rounding errors.,feature_engineering.py
binary_complex_equivalency,include_difference,bool,Boolean flag to determine whether to include arthematic difference in addition to binary flag.,feature_engineering.py
univariate_analysis,df,,,eda_functions.py
univariate_analysis,sparsity_threshold,,,eda_functions.py
univariate_analysis,skew_threshold,,,eda_functions.py
univariate_analysis,extreme_threshold,,,eda_functions.py
univariate_analysis,high_cardinality_threshold,,,eda_functions.py
ml_validation_data_cleaning,df,,,eda_functions.py
visualize_dataframe_in_notebook,df,dataframe,Any DataFrame,eda_functions.py
visualize_dataframe_in_notebook,show_as_number,list,"List of Columns which are to be displayed as format :,.2f",eda_functions.py
visualize_dataframe_in_notebook,show_as_currency,list,"List of Columns which are to be displayed as format $:,.2f",eda_functions.py
visualize_dataframe_in_notebook,show_as_currency_without_dec,list,"List of Columns which are to be displayed as format $:,.0f",eda_functions.py
visualize_dataframe_in_notebook,show_as_percentage,list,List of Columns which are to be displayed as format :.2f%,eda_functions.py
InspectFunction,function_name,,,utility_functions.py
create_knowledge_base,definition_df,dataframe,Dataframe containing Definitions from Google. Default is none and it will pull directly from Google.,taxonomy_admin_functions.py
create_knowledge_base,notes_df,dataframe,Dataframe containing Notes from Google. Default is none and it will pull directly from Google.,taxonomy_admin_functions.py
create_knowledge_base,generate_excel_files,,,taxonomy_admin_functions.py
create_knowledge_base,ignore_words_from_lvl1_lvl2,,,taxonomy_admin_functions.py
parse_dot_py_file,file_text,str,"Text, which should be structured someone in format of function_columns, based on prevailing default Python String Documentation",taxonomy_admin_functions.py
parse_dot_py_file,function_columns,list,List of columns to include in output file and to be parsed on. Default is to import from object_dict which represents default Python String Documentation.,taxonomy_admin_functions.py
create_python_documentation,location,str,Location of Folder to be read for .py files. Default is defined as /Users/derekdewald/Documents/Python/Github_Repo/d_py_functions,taxonomy_admin_functions.py
create_python_documentation,export_location,str,"Location to where CSV file is to be exported. If left Blank, will not export a CSV.",taxonomy_admin_functions.py
create_df_dot_py_doc_string,location,str,Name of Windows/IOS Folder.,taxonomy_admin_functions.py
read_dot_py_doc_string,file,str,Name of file as documented in local Folder.,taxonomy_admin_functions.py
generate_objects_automated_py,links_df,df,"Data from Google Sheets with Location of CSV and Links. If Nothing, it will pull from Google.",taxonomy_admin_functions.py
generate_objects_automated_py,knowledge_base_df,,,taxonomy_admin_functions.py
read_directory,location,str,The path to the directory. Defaults to the current working directory if not provided.,filesystem_tools.py
read_directory,file_type,str,"The file extension or type to filter by (e.g., '.ipynb'). If empty, returns all files.",filesystem_tools.py
read_directory,match_str,str,Option to be applied to help filter only wanted files by portion of string condition.,filesystem_tools.py
move_file_in_folder,folder1,str,Folder of First File,filesystem_tools.py
move_file_in_folder,folder2,str,Folder of Second File,filesystem_tools.py
move_file_in_folder,file_name,str,"Name of File to be moved, does not matter of file type)",filesystem_tools.py
move_file_in_folder,overwrite_without_validation,bool,Optional Argument allowing user to automate by apply to default overwrite (also meant to help reduce risk of losting information due to inadvertent overwriting),filesystem_tools.py
txt_to_python,file_name,str,"Name of File, including path location for import",filesystem_tools.py
txt_to_python,encoding,str,Encoding to be applied by With Open call. Default is utf-8.,filesystem_tools.py
export_formatted_df_to_single_xlsx,df,dataframe,Any Dataframe,filesystem_tools.py
export_formatted_df_to_single_xlsx,file_name,str,Name of Excel Output File,filesystem_tools.py
export_formatted_df_to_single_xlsx,sheet_name,str,Name of Sheet to be generated in Excel,filesystem_tools.py
export_formatted_df_to_single_xlsx,index,bool,Include DF index in output as default action,filesystem_tools.py
export_formatted_df_to_single_xlsx,freeze_header,bool,Freeze Excel File Column Header as default action,filesystem_tools.py
export_formatted_df_to_single_xlsx,column_formats,,,filesystem_tools.py
extract_object_dot_py,object_dict,dict,Dictionary Object from either objects_manual or objects_automated,archive.py
extract_object_dot_py,export_location,str,Location where .xlsx file will be saved.,archive.py
ETL,print_,bool,To Be Determined Utilization.,archive.py
