Function,Definition,Parameters,Returns,Date Created,Date Last Modified,Process,Categorization,Usage,Notes,Required Functions,Folder
binary_complex_equivalency,Function which tests the Equivalence of 2 Columns in a dataframe to determine whether they are Equal or Not.,"['df', 'column_name', 'column_name1', 'new_column_name', 'eq', 'ne', 'tolerance', 'include_difference']",df,28-Aug-26,28-Aug-26,TBD,TBD,"binary_complex_equivalency(df,'SCORE1','SCORE2')",None,None,feature_engineering.py
univariate_analysis,,"['df', 'sparsity_threshold', 'skew_threshold', 'extreme_threshold', 'high_cardinality_threshold']",,,,,,,,,eda_functions.py
ml_validation_data_cleaning,,['df'],,,,,,,,,eda_functions.py
visualize_dataframe_in_notebook,Function which applies some modest formating to a Dataframe to increase visual astetic.,"['df', 'show_as_number', 'show_as_currency', 'show_as_currency_without_dec', 'show_as_percentage']",Object Type date_created: 27-Aug-26 date_last_modified: 27-Aug-26 classification:TBD sub_classification:TBD,,,,,visualize_dataframe_in_notebook(df),,,eda_functions.py
InspectFunction,,['function_name'],,,,,,,,,utility_functions.py
create_knowledge_base,"Process Utilized to create Knowledge Base. Knowledge base combines Notes/Definition Datasets into a single expanded piece which expands individual Processes, Taxonomy and Definitions into complete data assets. Important. To Retain Order in Consolidated Data, or to be included in Process it must be defined as a process.
Machine Learning - Process. Which is Comprised of Processes. Goal Setting, Data Preparation etc..","['definition_df', 'notes_df', 'generate_excel_files', 'ignore_words_from_lvl1_lvl2']",Excel File Version 3. With the Idea that We have 3 Layers. Combined Definition/ Notes. Level 1 - Process is also a Word. Merge this in. Machine Learning Lifecycle. Level 2 - Categorization is also a Word.,02-Jul-26,29-Jul-26,Definition,Definition,"knowledge_base_df,process_df,consolidated_data = generate_files_for_streamlit(definition_df,notes_df)
knowledge_base_df,process_df,consolidated_data = generate_files_for_streamlit()","22-Jul - Overhauled merge. Attempted to streamline, simplify and reduce duplication. Increase Visability.
28-Jul - Originally Named - generate_knowledge_base, stream lined to remove usage of Dictionary, which were complex and operationally inefficient.
29-Jul - Changed Foundational Structure. Simplified with Clarity on Input.",objects_automated,taxonomy_admin_functions.py
create_blank_function_doc_string,Function which generates Default Documentation for Python Function Documentaiton in consistent format.,[],str,28-Aug-26,28-Aug-26,TBD,TBD,create_blank_function_doc_string(),None,None,taxonomy_admin_functions.py
parse_dot_py_file,Function which parses a .py file which has been read into python into a DataFrame categorizing function for ease of articulation and classification,"['file_text', 'function_columns']",Excel File(s),05-Aug-25,06-Jul-26,OS Folder Management,File Management,"location = '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/'
file_text = txt_to_python(f""{location}/filesystem_tools.py"")
a,b = parse_dot_py_file(file_text)","Update on 6-Jul-26 included generalization of List, and Formation of Tab/Indent structure.",,taxonomy_admin_functions.py
create_python_documentation,"Function which Generates Documentation related to Python Functions, which are annotated in a specific manner.","['location', 'export_location']",DataFrame(s),4-Dec-25,06-Jul-26,OS Folder Management,File Management,"function_list,parameter_list,function_file_definition = create_python_documentation(export_location=False)",None,"Read Directory
create_df_dot_py_doc_string
txt_to_python
parse_dot_py_file",taxonomy_admin_functions.py
create_df_dot_py_doc_string,"Function which iterates over a directory, looking for .py files which it can read the File Doc String, to understand the .py Purpose.",['location'],DataFrame(s),28-Aug-26,28-Aug-26,TBD,TBD,df = create_df_dot_py_doc_string(),None,"Read Directory
read_dot_py_doc_string",taxonomy_admin_functions.py
